HourDK,consumption,renewable_energies
2018-09-28 09:00,6319.347291,3576.169113000001
2018-09-28 10:00,6086.439265000003,4054.635748000003
2018-09-28 11:00,5517.084487000005,3980.722082000005
2018-09-28 12:00,5201.333327999997,3866.637222999998
2018-09-28 13:00,4692.359593999996,3503.4542169999954
2018-09-28 14:00,4538.411044000004,3570.4585630000042
2018-09-28 15:00,4283.5821289999985,3696.2325219999984
2018-09-28 16:00,4185.471768999999,3601.1832259999987
2018-09-28 17:00,4797.747585,3513.220208999999
2018-09-28 18:00,5371.182095,3148.708973
2018-09-28 19:00,5877.096390000001,2805.9217000000003
2018-09-28 20:00,5704.774658999996,2457.2973259999962
2018-09-28 21:00,5492.797091999999,2243.101477999999
2018-09-28 22:00,5222.126493,2000.785783
2018-09-28 23:00,5035.08377,1867.031313
2018-09-29 00:00,4845.977623000001,1610.944687
2018-09-29 01:00,4494.465539,1422.4147090000001
2018-09-29 02:00,4429.1991689999995,1185.4863540000001
2018-09-29 03:00,4190.088066,994.9324920000004
2018-09-29 04:00,4057.3169600000006,939.4855130000003
2018-09-29 05:00,4232.047907,880.9690390000001
2018-09-29 06:00,4820.704625,917.308096
2018-09-29 07:00,5159.785948000001,950.301228
2018-09-29 08:00,5423.058046,1014.076186
2018-09-29 09:00,5404.101726,1154.160938
2018-09-29 10:00,5287.448797999999,1582.3590669999999
2018-09-29 11:00,4526.3584459999975,2159.0131749999973
2018-09-29 12:00,4032.4851220000055,2786.1626350000056
2018-09-29 13:00,3618.2103739999993,3031.0542339999993
2018-09-29 14:00,4025.8007559999987,3192.017929999999
2018-09-29 15:00,5049.036609999999,3301.0982609999987
2018-09-29 16:00,5367.597160999997,3261.951357999997
2018-09-29 17:00,5508.9225590000015,3233.7061670000016
2018-09-29 18:00,5673.214848,3288.770354999999
2018-09-29 19:00,5592.357955999996,3256.098175999996
2018-09-29 20:00,5310.471248000005,3238.987724000005
2018-09-29 21:00,5006.002817999997,3230.600126999997
2018-09-29 22:00,4517.396538999996,3179.3915259999962
2018-09-29 23:00,4306.061270999997,3265.582744999997
2018-09-30 00:00,3897.205720999999,3349.517811999999
2018-09-30 01:00,3502.2462309999983,3306.2427639999987
2018-09-30 02:00,3255.195262,3193.709688
2018-09-30 03:00,3188.0834570000034,3072.7184650000036
2018-09-30 04:00,3256.8238800000054,2974.2335870000056
2018-09-30 05:00,3247.461625999996,2849.997459999996
2018-09-30 06:00,3519.950958999996,2780.532843999996
2018-09-30 07:00,3840.2908509999984,2552.479482999999
2018-09-30 08:00,3982.346552000003,2686.7706260000027
2018-09-30 09:00,4129.268852000002,2553.4824020000024
2018-09-30 10:00,3641.881582000002,2684.785573000002
2018-09-30 11:00,3349.644037999999,2915.972629999999
2018-09-30 12:00,3152.7006539999966,2914.6308059999965
2018-09-30 13:00,2623.350675,2712.12004
2018-09-30 14:00,2962.6917280000034,2376.645865000003
2018-09-30 15:00,3320.7493830000003,2102.310192
2018-09-30 16:00,4576.77738,1799.3205960000003
2018-09-30 17:00,5747.303565,1270.026148
2018-09-30 18:00,5824.801902,923.2544969999998
2018-09-30 19:00,5481.219947999999,812.1385329999996
2018-09-30 20:00,5314.309689999999,864.6108009999996
2018-09-30 21:00,5350.3654480000005,917.5746299999996
2018-09-30 22:00,5178.666748,822.790203
2018-09-30 23:00,4834.347732,781.2288960000001
